number ;Samples_ID;Collection_month;Year_collection;Collection_date;Block_ID;Lake_ID;filter_pore_size;Bological_Replicates;UTC;Hour_Collection_start;Hour_Collection_end;L_F;L_M;L_SC;L_SL;L_tot_filtered;Treatment;Sampling_type;Pompe;expe;Comments_field;Transfer_date;Extraction_date
382;ctrl_0.1_Monthly_Dec22;December;2022;15.12.2022;NA;ctrl_field_neg;0.1;NA;winter;14:00:00;14:00:00;NA;NA;NA;NA;0;ctrl_neg_field;Monthly;NA;NA;;;
383;ctrl_0.45_Monthly_Dec22;December;2022;15.12.2022;NA;ctrl_field_neg;0.45;NA;winter;14:00:00;14:00:00;NA;NA;NA;NA;0;ctrl_neg_field;Monthly;NA;NA;;;
384;T1_0.1_blue_Jan23;January;2023;26.01.2023;B2;L5;0.1;blue;winter;09:00:00;09:30:00;1;1;0,65;0,54;3,19;P;Daily;blue;JG_GL;;;
385;T1_0.1_orange_Jan23;January;2023;26.01.2023;B2;L5;0.1;orange ;winter;09:00:00;09:30:00;1;1;0,62;0,57;3,19;P;Daily;orange;JG_GL;;;
386;T1_0.1_red_Jan23;January;2023;26.01.2023;B2;L5;0.1;red;winter;09:00:00;09:30:00;1;1;0,5;0,32;2,82;P;Daily;red;JG_GL;;;
387;T1_0.45_blue_Jan23;January;2023;26.01.2023;B2;L5;0.45;blue;winter;09:00:00;09:30:00;1;1;0,65;0,54;3,19;P;Daily;blue;JG_GL;;;
388;T1_0.45_orange_Jan23;January;2023;26.01.2023;B2;L5;0.45;orange ;winter;09:00:00;09:30:00;1;1;0,62;0,57;3,19;P;Daily;orange;JG_GL;;;
389;T1_0.45_red_Jan23;January;2023;26.01.2023;B2;L5;0.45;red;winter;09:00:00;09:30:00;1;1;0,5;0,32;2,82;P;Daily;red;JG_GL;;;
390;T2_0.1_blue_Jan23;January;2023;26.01.2023;B2;L5;0.1;blue;winter;13:00:00;13:30:00;1;1;0,52;0,39;2,91;P;Daily;blue;JG_GL;;;
391;T2_0.1_orange_Jan23;January;2023;26.01.2023;B2;L5;0.1;orange ;winter;13:00:00;13:30:00;1;1;0,58;0,44;3,02;P;Daily;orange;JG_GL;;;
392;T2_0.1_red_Jan23;January;2023;26.01.2023;B2;L5;0.1;red;winter;13:00:00;13:30:00;1;1;0,67;0,46;3,13;P;Daily;red;JG_GL;;;
393;T2_0.45_blue_Jan23;January;2023;26.01.2023;B2;L5;0.45;blue;winter;13:00:00;13:30:00;1;1;0,52;0,39;2,91;P;Daily;blue;JG_GL;;;
